Psalm A,Psalm B,Contiguous Phrase Matches,Skipgram Matches,Root Matches,Final Score
27,44,1,3,19,203.79
10,73,0,2,18,203.72
77,110,0,0,16,203.69
72,106,1,4,23,203.51
76,121,0,0,6,203.49
78,145,2,2,33,203.47
55,64,1,2,17,203.43
30,89,1,1,23,203.43
18,91,1,0,27,203.42
88,90,0,0,18,203.33
25,37,6,4,20,203.33
56,59,2,2,16,203.32
21,68,0,1,25,203.25
46,79,2,0,15,203.23
16,27,1,1,15,203.22
11,21,1,0,11,203.21
69,132,0,1,28,203.14
77,85,1,0,18,203.1
68,89,0,1,44,203.0
10,139,1,0,21,202.99
15,110,0,1,9,202.99
50,94,0,2,17,202.98
17,18,1,1,29,202.97
10,140,0,0,18,202.84
26,66,0,1,18,202.77
16,44,1,1,17,202.76
31,91,1,1,18,202.74
26,139,2,0,17,202.68
59,79,0,1,19,202.66
12,79,0,0,15,202.61
74,119,3,3,46,202.52
77,139,0,2,24,202.5
31,86,2,4,21,202.44
69,127,1,0,13,202.43
5,32,0,0,12,202.37
18,132,1,1,30,202.35
34,119,3,7,47,202.21
16,139,0,0,17,202.2
18,39,1,0,30,202.2
49,84,1,1,17,202.18
58,82,1,0,9,202.14
7,22,0,0,24,202.08
73,94,1,0,22,202.08
39,59,0,0,20,202.06
6,90,3,0,10,202.05
10,21,2,0,14,202.0
14,33,1,1,14,201.96
1,107,0,0,15,201.94
94,140,0,2,13,201.93
10,55,0,0,25,201.75
50,97,1,2,14,201.69
14,64,1,0,11,201.69
69,105,0,0,39,201.68
9,40,0,1,23,201.41
34,64,0,0,17,201.28
7,38,1,0,21,201.27
71,119,5,1,50,201.13
36,37,0,2,22,201.11
45,144,1,0,13,201.06
2,78,0,2,24,201.06
86,90,2,4,16,201.05
19,36,0,0,18,201.04
102,127,0,0,11,200.89
31,61,1,0,17,200.79
44,143,2,3,20,200.74
88,121,0,0,12,200.73
46,105,0,4,21,200.72
22,132,0,0,23,200.63
97,125,0,0,9,200.63
17,26,0,0,16,200.61
37,51,0,0,25,200.61
69,89,0,5,40,200.57
7,73,0,0,21,200.54
110,138,0,0,11,200.45
5,64,2,0,12,200.25
9,89,1,2,30,200.1
17,144,1,0,15,200.09
12,77,1,0,11,200.06
21,108,1,1,11,199.99
18,36,4,2,21,199.91
59,139,1,1,20,199.85
35,78,2,1,39,199.78
7,141,0,1,17,199.76
36,103,1,2,18,199.73
9,139,1,0,20,199.69
90,141,0,1,13,199.66
24,102,0,2,16,199.65
77,143,2,1,16,199.51
82,94,2,2,9,199.49
48,84,2,1,13,199.44
79,83,1,2,15,199.4
9,31,4,0,23,199.29
107,145,1,0,21,199.2
22,49,2,0,24,199.2
78,91,0,0,28,199.18
18,77,4,4,28,199.18
16,40,0,0,20,199.06
33,106,3,3,21,198.88
147,148,2,1,15,198.88
30,49,0,0,14,198.8
25,69,3,4,23,198.74
79,135,0,2,19,198.72
104,119,3,2,55,198.7
48,68,2,2,16,198.68
17,119,1,1,41,198.63
2,79,0,1,15,198.6
68,76,2,0,19,198.54
18,144,3,6,19,198.47
17,48,0,0,12,198.46
30,66,1,1,15,198.46
23,85,0,0,11,198.42
122,147,0,0,12,198.42
12,31,5,3,13,198.39
50,68,1,3,24,198.28
27,46,1,1,12,198.24
50,55,1,1,24,198.22
78,102,2,4,40,198.21
61,140,0,0,13,198.2
51,85,0,0,15,198.14
81,147,1,2,13,198.1
112,140,0,0,14,198.01
10,112,2,0,13,197.79
94,139,1,0,17,197.77
22,106,1,0,33,197.72
7,72,2,4,17,197.5
86,143,4,9,10,197.39
84,89,1,1,25,197.32
96,99,2,2,9,197.26
4,18,1,4,18,197.17
9,112,0,1,16,197.16
86,138,1,1,16,197.15
36,94,2,0,18,197.12
91,104,0,0,17,197.11
33,112,0,0,18,197.09
45,105,1,1,25,197.05
55,143,1,1,21,197.04
33,145,3,4,16,196.96
103,138,2,2,13,196.95
95,96,3,0,13,196.84
27,69,1,3,27,196.79
14,85,0,1,10,196.78
33,48,1,0,18,196.76
30,103,0,1,15,196.75
5,141,3,2,12,196.71
97,109,1,2,17,196.62
72,105,1,2,25,196.54
18,41,2,2,25,196.53
46,60,0,0,14,196.5
7,27,1,1,18,196.42
89,107,3,1,29,196.38
57,140,0,0,13,196.3
15,26,0,0,6,196.3
68,119,0,1,57,196.24
71,111,0,1,14,196.17
35,43,0,2,12,196.13
55,90,0,0,19,196.06
12,109,1,0,19,196.05
104,107,1,1,29,196.05
30,61,0,1,11,195.97
104,109,3,2,26,195.94
7,110,1,0,12,195.93
22,76,0,1,19,195.93
7,103,0,2,20,195.93
17,88,2,1,17,195.92
81,138,0,2,15,195.87
69,86,3,5,23,195.8
79,106,1,1,25,195.78
2,74,0,0,16,195.69
55,61,0,0,17,195.68
10,135,1,1,19,195.6
4,97,1,0,10,195.57
50,139,0,0,25,195.55
80,102,0,0,22,195.45
49,89,2,4,21,195.43
9,98,2,2,12,195.43
38,39,2,0,17,195.4
47,98,1,2,7,195.39
94,105,1,0,28,195.32
45,112,0,0,16,195.26
36,110,0,1,10,195.26
74,93,0,0,12,195.24
86,145,1,5,13,195.22
7,111,1,0,14,195.18
2,18,1,0,24,195.15
136,148,0,1,16,195.15
38,50,1,0,20,195.11
115,124,1,0,10,195.1
36,52,1,1,14,195.1
68,109,1,1,29,195.1
7,59,2,0,17,195.1
55,119,0,3,52,195.09
48,104,2,1,14,195.07
88,98,0,0,14,195.01
37,40,3,3,24,194.98
47,81,2,0,9,194.97
68,140,0,0,26,194.92
96,110,1,0,10,194.81
77,88,1,0,21,194.77
27,139,0,1,20,194.74
15,51,2,0,9,194.66
5,58,2,0,13,194.66
119,139,3,2,49,194.61
68,85,0,1,21,194.58
13,91,0,0,10,194.55
44,49,2,0,19,194.53
71,78,4,0,35,194.53
54,71,1,3,12,194.46
126,129,1,1,5,194.43
45,65,0,0,16,194.41
4,102,1,0,12,194.34
82,143,1,3,9,194.34
38,144,0,0,18,194.34
36,76,0,0,13,194.34
4,66,0,0,15,194.33
30,130,2,2,7,194.29
3,140,1,0,12,194.21
88,102,2,1,20,194.19
7,76,0,0,14,194.17
73,104,0,0,27,194.15
34,139,1,1,21,194.07
22,88,4,1,22,194.05
68,108,0,3,17,194.04
73,74,1,0,21,193.95
34,77,0,0,21,193.89
90,110,0,0,12,193.85
59,66,0,0,23,193.74
31,147,1,0,22,193.73
16,30,1,0,12,193.57
78,111,0,1,21,193.55
78,97,0,0,26,193.5
40,141,0,1,17,193.45
38,102,2,0,18,193.42
18,65,1,0,23,193.42
63,104,0,1,13,193.41
23,37,1,0,12,193.38
77,119,1,5,40,193.36
44,45,2,1,19,193.34
19,64,1,0,12,193.27
52,116,1,0,12,193.12
65,147,1,0,15,193.09
25,64,0,0,12,193.08
89,143,1,2,27,193.0
49,66,1,2,21,192.94
81,150,0,0,6,192.94
19,90,1,0,14,192.93
84,135,1,0,16,192.87
51,147,0,2,16,192.83
83,87,0,0,12,192.69
68,105,0,1,30,192.66
47,105,0,0,15,192.61
7,64,1,1,13,192.59
13,30,1,0,11,192.55
4,34,1,0,14,192.51
12,89,1,1,20,192.41
12,82,0,0,10,192.28
71,92,1,1,16,192.28
34,66,0,2,21,192.25
19,78,1,0,29,192.25
39,89,0,1,28,192.21
74,88,1,2,18,192.2
88,104,2,0,18,192.14
53,139,0,0,17,192.02
32,78,0,0,28,191.99
11,97,1,1,8,191.94
48,78,2,1,23,191.93
45,96,0,0,17,191.91
73,77,0,0,24,191.79
30,118,4,2,12,191.71
26,50,0,0,16,191.68
6,54,2,1,8,191.67
22,135,3,3,22,191.61
14,105,0,2,19,191.59
40,139,3,1,19,191.57
53,64,1,0,11,191.54
7,33,1,0,21,191.51
79,123,0,0,8,191.5
21,140,2,1,11,191.49
5,34,1,0,19,191.48
10,22,3,2,23,191.45
51,119,0,9,36,191.45
83,104,0,0,22,191.44
13,116,2,2,9,191.43
106,111,1,1,18,191.42
45,49,3,2,13,191.4
101,109,1,1,17,191.37
57,138,2,1,10,191.31
36,73,0,0,21,191.19
33,103,8,2,15,191.18
17,59,1,1,14,191.17
5,94,2,0,14,191.16
97,122,0,0,9,191.12
81,91,0,0,15,191.12
38,52,2,1,9,191.06
7,69,0,0,27,191.02
